company_id,company_name,trustscore,total_reviews,domain
110,Evergreen Credit Union,4.9,221,ATM·Credit Union·Financial Institution
111,Liberty First Credit Union,4.8,198,Car Finance and Loan Company·Credit Union·ATM·Financial Institution·Mortgage Lender
112,Crypto Dispensers ,2.4,118,Cryptocurrency Service·Non-Bank Financial Service·Investment Service·ATM
113,Swadesh,4.3,9,ATM·Bank·Financial Institution·Money Transfer Service
114,Heritage Valley Federal Credit Union,4.1,11,ATM·Bank·Federal Credit Union·Financial Institution·Mortgage Lender·Credit Union
115,The Payment HQ,3.8,2,Business to Business Service·Payment Service·Finance Broker·Payroll Service·ATM
116,ASDFTEST,3.7,1,ATM
117,Kryptominerstech,3.7,1,Money Order Service·Business Center·Gold Mining Company·ATM·Cryptocurrency Service·Money Transfer Service
118,WPC Merchant Services & Credit Card Processing,3.7,1,ATM·Business to Business Service
119,Meriwest Credit Union,3.5,8,Credit Counseling Service·Car Finance and Loan Company·Investment Service·ATM·Debt Relief Service·Credit Union·Financial Institution·Mortgage Lender
1110,Slide2Thrive,,,ATM
1111,NorthOne,3.1,124,Bank·Bookkeeping Service·Financial Institution·ATM·Non-Bank Financial Service·Money Transfer Service
1112,cryptobaseatm.com,3.0,4,Cryptocurrency Service·ATM
1113,Coinhub Bitcoin ATM,2.9,2,Cryptocurrency Service·ATM·Currency Exchange Service
1114,Cash Express,2.8,12,Check Cashing Service·ATM·Alternative Financial Service·Loan Agency·Non-Bank Financial Service
1115,Asic Miners Rig,2.3,6,Money Order Service·Money Transfer Service·ATM·Cryptocurrency Service·Business Center·Mining Company
1116,Asicminertech,2.2,28,Coin Dealer·Cryptocurrency Service·ATM·Mining Company·Wholesaler·Produce Wholesaler
1117,Coin Cloud,1.9,103,ATM·Cryptocurrency Service·Non-Bank Financial Service
1118,PNC Bank,1.3,841,ATM·Bank
1119,Koinkryptatm,,,ATM
